OID,ident,lat,long,id,alt,gs,time,heading
-1,1,36.10528,-121.41306,ASH5694,15700,369,11/07/2016 01:16:03,138
-1,2,35.97472,-115.85056,ASA605,22300,377,11/07/2016 01:16:28,308
-1,3,34.06861,-118.65972,EJA820,9000,306,11/07/2016 01:16:28,9
-1,4,36.03944,-121.31583,ASH5694,16700,371,11/07/2016 01:17:06,130
-1,5,36.04583,-115.95583,ASA605,24600,379,11/07/2016 01:17:31,310
-1,6,34.15083,-118.63361,EJA820,9600,305,11/07/2016 01:17:31,15
-1,7,35.98556,-121.19417,ASH5694,17400,397,11/07/2016 01:18:08,119
-1,8,36.11611,-116.06361,ASA605,26400,398,11/07/2016 01:18:36,309
-1,9,34.25444,-118.60333,EJA820,11600,313,11/07/2016 01:18:36,14
-1,10,35.92833,-121.075,ASH5694,18200,400,11/07/2016 01:19:10,121
-1,11,34.3375,-118.63306,EJA820,13500,309,11/07/2016 01:19:35,343
-1,12,35.87194,-120.955,ASH5694,19000,403,11/07/2016 01:20:13,120
-1,13,36.27083,-116.29472,ASA605,30600,424,11/07/2016 01:20:37,310
-1,14,34.42222,-118.67056,EJA820,15000,319,11/07/2016 01:20:37,340
-1,15,35.81417,-120.83417,ASH5694,19700,404,11/07/2016 01:21:15,120
-1,16,34.50972,-118.71389,EJA820,16400,336,11/07/2016 01:21:41,338
-1,17,35.74528,-120.68694,ASH5694,20400,412,11/07/2016 01:22:17,120
-1,18,36.4225,-116.52778,ASA605,34100,432,11/07/2016 01:22:42,309
-1,19,34.59833,-118.75778,EJA820,18100,341,11/07/2016 01:22:42,338
-1,20,35.68528,-120.56278,ASH5694,20900,419,11/07/2016 01:23:19,121
-1,21,36.49972,-116.645,ASA605,35800,437,11/07/2016 01:23:44,309
-1,22,34.68472,-118.8025,EJA820,19900,340,11/07/2016 01:23:44,337
-1,23,35.62444,-120.43417,ASH5694,21500,421,11/07/2016 01:24:21,120
-1,24,36.59667,-116.77444,ASA605,37600,437,11/07/2016 01:24:46,313
-1,25,34.78778,-118.85417,EJA820,22000,338,11/07/2016 01:24:46,337
-1,26,35.56333,-120.30944,ASH5694,22200,421,11/07/2016 01:25:24,121
-1,27,36.70306,-116.85278,ASA605,38000,440,11/07/2016 01:25:49,329
-1,28,34.86528,-118.91611,EJA820,23800,336,11/07/2016 01:25:49,327
-1,29,35.50306,-120.18528,ASH5694,22900,422,11/07/2016 01:26:29,121
-1,30,36.80722,-116.93222,ASA605,38800,440,11/07/2016 01:26:51,329
-1,31,34.93889,-118.98167,EJA820,25600,335,11/07/2016 01:26:51,324
-1,32,35.44222,-120.05611,ASH5694,23600,424,11/07/2016 01:27:28,120
-1,33,35.01417,-119.04667,EJA820,27400,334,11/07/2016 01:27:53,325
-1,34,35.38167,-119.93278,ASH5694,24100,423,11/07/2016 01:28:30,121
-1,35,37.03917,-117.10889,ASA605,40000,441,11/07/2016 01:28:55,329
-1,36,35.09056,-119.115,EJA820,28000,336,11/07/2016 01:28:55,324
-1,37,35.30861,-119.78333,ASH5694,24900,422,11/07/2016 01:29:33,121
-1,38,37.14167,-117.19028,ASA605,40000,439,11/07/2016 01:29:58,328
-1,39,35.19333,-119.20472,EJA820,28000,372,11/07/2016 01:29:58,324
-1,40,35.24722,-119.65889,ASH5694,25500,425,11/07/2016 01:30:35,121
-1,41,35.28028,-119.27917,EJA820,28000,379,11/07/2016 01:31:00,325
-1,42,35.18583,-119.53472,ASH5694,26000,425,11/07/2016 01:31:37,121
-1,43,37.35278,-117.33028,ASA605,40000,440,11/07/2016 01:32:00,332
-1,44,35.36472,-119.35389,EJA820,28000,379,11/07/2016 01:32:02,324
-1,45,35.12472,-119.41028,ASH5694,26500,425,11/07/2016 01:32:39,121
-1,46,37.46917,-117.39944,ASA605,40000,438,11/07/2016 01:33:04,335
-1,47,35.44806,-119.42833,EJA820,28000,378,11/07/2016 01:33:04,324
-1,48,35.06194,-119.285,ASH5694,26900,429,11/07/2016 01:33:42,121
-1,49,35.53139,-119.50361,EJA820,28000,377,11/07/2016 01:34:07,324
-1,50,34.99833,-119.15806,ASH5694,27000,434,11/07/2016 01:34:44,121
